대출_고유키,금융회사코드,금융회사명,금융상품코드,금융상품명,기준일자,심의필일자,적재일자
대출_123,034,광주은행,LON20181212003,광주은행기타주택담보대출,,준법감시인 심의필 제2023-4354호 (2023.12.21.),20240104
대출_124,034,광주은행,LON20181212001,광주은행아파트담보대출,,준법감시인 심의필 제2023-4353호 (2023.12.21.),20240104
대출_125,034,광주은행,LON20181212002,광주은행오피스텔담보대출,,준법감시인 심의필 제2023-4355호 (2023.12.21.),20240104
대출_126,034,광주은행,LON20181212004,광주은행잔금대출,,준법감시인 심의필 제2023-4356호 (2023.12.21.),20240104
대출_127,034,광주은행,LON20141014001,기술창조우수기업대출,,준법감시인 심의필 제 2023-4364호 (2023.12.21.),20240104
대출_128,034,광주은행,LON20101028007,기업구매자금대출,,준법감시인 심의필 제 2023-4304호 (2023.12.20.),20240104
대출_129,034,광주은행,LON20181210009,기업당좌대출,,준법감시인 심의필 제 2022-1432호 (2022.04.29.),20240104
대출_130,034,광주은행,LON20181210001,기업일반자금대출,,준법감시인 심의필 제 2022-1428호 (2022.04.29.),20240104
대출_131,034,광주은행,LON20150225002,기업튼튼보증서대출,,준법감시인 심의필 제 2023-4369호 (2023.12.21.),20240104
대출_132,034,광주은행,LON20181210007,네트워크론·공공구매론,,준법감시인 심의필 제 2023-4305호 (2023.12.20.),20240104
대출_133,034,광주은행,LON20201006001,모바일프라임론,,준법감시인 심의필 제2023-4021호 (2023.12.07.),20240104
대출_134,034,광주은행,LON20181207002,무역금융,,준법감시인 심의필 제2023-4183호 (2023.12.15),20240104
대출_135,034,광주은행,LON20181210006,보증서 담보대출,,준법감시인 심의필 제 2023-4306호 (2023.12.20.),20240104
대출_136,034,광주은행,LON20231115001,비즈니스파트너론,,준법감시인 심의필 제 2023-3717호 (2023.11.06.),20240104
대출_137,034,광주은행,LON20190906001,사회적경제기업 SUPPORT-LOAN,,준법감시인 심의필 제 2023-4361호 (2023.12.21.),20240104
대출_138,034,광주은행,LON20210518001,센트럴 공공기관 매입조건부 주택건축대출,,준법감시인 심의필 제 2023-4370호 (2023.12.21.),20240104
대출_139,034,광주은행,LON20160926002,센트럴아파트담보대출,,준법감시인 심의필 제2023-4357호 (2023.12.21.),20240104
대출_140,034,광주은행,LON20181002001,센트럴요양원대출,,준법감시인 심의필 제 2023-4367호 (2023.12.21.),20240104
대출_141,034,광주은행,LON20150312004,스위트홈론_잔금형,,,20240104
대출_142,034,광주은행,LON20140430001,쏠쏠마이카대출,,준법감시인 심의필 제2023-2666호 (2023.07.26.),20240104
대출_143,034,광주은행,LON20161010001,쏠쏠센트럴비즈론,,준법감시인 심의필 제 2023-4363호 (2023.12.21.),20240104
대출_144,034,광주은행,LON20101104004,예금담보 마이너스대출,,준법감시인 심의필 제2022-1431호 (2022.04.29.),20240104
대출_145,034,광주은행,LON20101104003,예금담보 일반대출,,준법감시인 심의필 제2022-1430호 (2022.04.29.),20240104
대출_146,034,광주은행,LON20181207001,외화대출,,준법감시인 심의필 제2023-4311호 (2023.12.20.),20240104
대출_147,034,광주은행,LON20110504006,전자방식 외상매출채권 담보대출(B2B대출),,준법감시인 심의필 제 2023-4307호 (2023.12.20.),20240104
대출_148,034,광주은행,LON20110506002,전자상거래대출,,준법감시인 심의필 제 2023-4308호 (2023.12.20.),20240104
대출_149,034,광주은행,LON20181210011,전자채권 담보대출,,준법감시인 심의필 제 2023-4309호 (2023.12.20.),20240104
대출_150,034,광주은행,LON20181210003,정책자금대출,,준법감시인 심의필 제 2023-4314호 (2023.12.20.),20240104
대출_151,034,광주은행,LON20181218001,중도금대출,,준법감시인 심의필 제 2023-4313호 (2023.12.20.),20240104
대출_152,034,광주은행,LON20181210004,지방자치단체협약 중소기업(이차보전)대출,,준법감시인 심의필 제 2023-4312호 (2023.12.20.),20240104
대출_153,034,광주은행,LON20190529002,청년 맞춤형 월세자금대출,,준법감시인 심의필 제2023-4346호 (2023.12.21.),20240104
대출_156,034,광주은행,LON20230525001,체인지찬스론,,준법감시인 심의필 제2023-2670호 (2023.07.26.),20240104
대출_157,034,광주은행,LON20220926001,최저신용자특례보증대출,,준법감시인 심의필 제2023-3735호 (2023.11.16.),20240104
대출_158,034,광주은행,LON20181210008,토지분양자금대출,,준법감시인 심의필 제 2023-4310호 (2023.12.20.),20240104
대출_159,034,광주은행,LON20101028024,특화산업단지대출,,준법감시인 심의필 제 2023-4365호 (2023.12.21.),20240104
대출_160,034,광주은행,LON20191113001,포용금융특별대출,,준법감시인 심의필 제2023-4360호 (2023.12.21.),20240104
대출_161,034,광주은행,LON20101026010,한국주택금융공사 U-보금자리론,,준법감시인 심의필 제 2023-4316호 (2023.12.20.),20240104
대출_162,034,광주은행,LON20140127001,한국주택금융공사 내집마련디딤돌대출,,,20240104
대출_163,034,광주은행,LON20181210005,할인어음,,준법감시인 심의필 제2022-2115호,20240104
대출_164,034,광주은행,LON20181210010,확정지급보증,,준법감시인 심의필 제 2022-1433호 (2022.04.29.),20240104
대출_165,035,제주은행,,엘리트론(비대면_은행선정업체),20230414,준법감시인 심의필 제2023-02-013호 (심의일자: 2023.01.12/ 유효기간 : 2023.01.12~2024.12.31),20240104
대출_166,035,제주은행,,엘리트론(비대면_공무원),20230414,준법감시인 심의필 제2023-02-010호 (심의일자: 2023.01.12 / 유효기간 : 2023.01.12~2024.12.31),20240104
대출_167,035,제주은행,,전문직우대론,,준법감시인 심사필 제2023-02-199호(심의일자: 2023.04.13 / 유효기간 : 2023.04.13 ~ 2024.12.31),20240104
